Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Epoetina Alfa,EPOETINA ALFA 5.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 5.000 UI 0 5 ml,421 65,255 48,-,FIDIA FARMACEUTICI SpA,038494100,ANS,
Epoetina Alfa,EPOETINA ALFA 6.000UI 6 UNITA' USO PARENTERALE,ABSEAMED*6 siringhe SC EV 6.000 UI 0 6 ml,505 84,306 49,-,FIDIA FARMACEUTICI SpA,038494124,ANU,
Sodio ibandronato monoidrato,SODIO IBANDRONATO 6MG 6ML 1 UNITA' USO PARENTERALE,ACIDO IBANDRONICO*1 flacone 6 mg 6 ml,230 57,139 71,-,ACTAVIS ITALY SpA,040554053,BKQ,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' + SOLV USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino EV 4 mg + 1 fiala solv 5 ml,134 49,81 49,-,IBIGEN Srl,041518022,ACC,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino infus 4 mg 5 ml,134 49,81 49,-,SUN PHARMACEUTICALS ITALIA Srl,041544014,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml,70 00,42 41,-,DOC GENERICI Srl,041227012,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml,134 49,81 49,-,ACTAVIS ITALY SpA,042090011,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml,134 49,81 49,-,FRESENIUS KABI ITALIA Srl,042277018,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml,134 49,81 49,-,MEDAC PHARMA Srl,042333017,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml,134 49,81 49,-,MYLAN SpA,042342016,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz infus 4 mg 100 ml,134 49,81 49,-,SANDOZ SpA,042095012,ABZ,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz infus 4 mg 5 ml,134 49,81 49,-,SANDOZ SpA,042095048,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flaconcino soluz infus 4 mg 5 ml,134 49,81 49,-,TEVA ITALIA Srl,042230045,ACD,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 flacone soluz concentr infus 4 mg 100 ml,190 62,115 49,-,MEDAC PHARMA Srl,042333043,ABZ,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*1 sacca soluz infus 4 mg 100 ml,134 49,81 49,-,HOSPIRA ITALIA Srl,042486035,ABZ,
Acido zoledronico,ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE,ACIDO ZOLEDRONICO*10 flaconcini soluz infus 4 mg 5 ml,699 98,424 18,-,ACCORD HEALTHCARE ITALIA Srl,043198035,CAW,
Acido zoledronico,ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE,ACLASTA*1 flaconcino EV 0 05 mg/ml 100 ml,529 49,320 82,-,NOVARTIS FARMA SpA,037105018,ACE,
Alteplasi,ALTEPLASI 20MG 20ML 1 UNITA' USO PARENTERALE,ACTILYSE*1 flaconcino EV 20 mg + 1 flaconcino solv 20 ml,362 65,164 84,-,BOEHRINGER INGELHEIM IT.SpA,026533051,ADK,
Alteplasi,ALTEPLASI 50MG 50ML 1 UNITA' USO PARENTERALE,ACTILYSE*1 flaconcino EV 50 mg + 1 flaconcino solv 50 ml,809 51,367 95,-,BOEHRINGER INGELHEIM IT.SpA,026533048,ADL,
Brentuximab vedotin,BRENTUXIMAB VEDOTIN 50MG 1 UNITA' USO PARENTERALE,ADCETRIS*1 flaconcino EV 50 mg polv,5.500 83,3.333 00,-,TAKEDA ITALIA SpA,042448011,CFM,
Ferro/Zinco/Manganese/Rame/Cromo/Selenio/Molibdeno/Fluoro/Iodio,FERRO+ZINCO+MANGANESE+RAME+CROMO+SELENIO+MOLIBDENO 10ML 20 UNITA' USO PARENTERALE,ADDAMEL N*20 fiale 10 ml 10 3 mg/10 ml,59 12,26 88,-,FRESENIUS KABI ITALIA Srl,029231026,AQG,
Doxorubicina,DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,ADRIBLASTINA*1 fiala EV 10 mg 5 ml,28 99,13 18,-,PFIZER ITALIA Srl,022393058,ALW,
Doxorubicina,DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,ADRIBLASTINA*1 flaconcino EV 50 mg 25 ml,119 51,54 32,-,PFIZER ITALIA Srl,022393060,AMF,
Doxorubicina,DOXORUBICINA 50MG 1 UNITA' USO PARENTERALE,ADRIBLASTINA*1 flaconcino polv EV 50 mg,99 48,45 22,-,PFIZER ITALIA Srl,022393045,AMD,
Doxorubicina,DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,ADRIBLASTINA*1 flacone EV 10 mg + 1 fiala solv 5 ml,19 55,8 89,-,PFIZER ITALIA Srl,022393033,ALW,
Doxorubicina,DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,ADRIBLASTINA*1 flacone EV 200 mg 100 ml,424 07,192 76,-,PFIZER ITALIA Srl,022393084,ALY,
Isoflurano,ISOFLURANO 100ML 6 UNITA' USO INALATORIO,AERRANE*6 flaconi inal 100 ml,214 46,129 94,-,BAXTER SpA,029033038,CKO,
Isoflurano,ISOFLURANO 100ML USO INALATORIO,AERRANE*inal 100 ml,50 15,22 80,-,BAXTER SpA,029033014,BBT,
Isoflurano,ISOFLURANO 250ML USO INALATORIO,AERRANE*inal 250 ml,141 44,64 30,-,BAXTER SpA,029033026,BBV,
Everolimus,EVEROLIMUS 10MG 30 UNITA' USO ORALE,AFINITOR*30 cpr 10 mg,6.020 66,3.648 00,-,NOVARTIS FARMA SpA,039398045,APQ,
Everolimus,EVEROLIMUS 5MG 30 UNITA' USO ORALE,AFINITOR*30 cpr 5 mg,4.233 28,2.565 00,-,NOVARTIS FARMA SpA,039398019,APR,
Tirofiban,TIROFIBAN 12 5MG 50ML 1 UNITA' USO PARENTERALE,AGGRASTAT*1 flaconcino EV 50 ml 250 mcg/ml,262 90,159 30,-,CORREVIO ITALIA Srl,034357018,BMO,
Vaccino Influenzale Inattivato,VACCINO ANTINFLUENZALE 0 5ML 1 UNITA' USO PARENTERALE,AGRIPPAL S1*1 siringa 0 5 ml 2014-2015 con ago,8 40,5 09,-,NOVARTIS VACCIN.INFLUENZA Srl,026405353,BOV,
Vaccino Influenzale inattivato,VACCINO ANTINFLUENZALE 0 5ML 10 UNITA' USO PARENTERALE,AGRIPPAL S1*10 siringhe 0 5 ml 2014-2015 con ago,84 00,50 90,-,NOVARTIS VACCIN.INFLUENZA Srl,026405338,BOW,
Sodio oxibato,SODIO OXIBATO 17 5% 10ML 12 UNITA' USO ORALE,ALCOVER*os soluz 12 flaconcini 10 ml 17 5%,32 39,14 72,-,C.T. LAB.FARMACEUTICO Srl,027751078,BKS,
Sodio oxibato,SODIO OXIBATO 17 5% 140ML USO ORALE,ALCOVER*os soluz 140 ml 17 5%,33 60,15 27,-,C.T. LAB.FARMACEUTICO Srl,027751066,BKT,
Laronidasi,LARONIDASI 500U 5ML 1 UNITA' USO PARENTERALE,ALDURAZYME*1 flaconcino EV 5 ml 500 U,1.097 52,665 00,-,GENZYME Srl,035891011,BCL,
Aminoacidi chetoanaloghi/aminoacidi,AMINOACIDI CHETOANALOGHI/AMINOACIDI 100 UNITA' USO ORALE,ALFAKAPPA*100 cpr riv,96 88,44 04,-,FRESENIUS KABI ITALIA Srl,026363010,ADR,
Pemetrexed,PEMETREXED 100MG 1 UNITA' USO PARENTERALE,ALIMTA*1 flaconcino polv soluz infus 100 mg,453 12,274 55,-,ELI LILLY ITALIA SpA,036587020,BHR,
Pemetrexed,PEMETREXED 500MG 1 UNITA' USO PARENTERALE,ALIMTA*1 flaconcino polv soluz infus 500 mg,2.265 59,1.372 75,-,ELI LILLY ITALIA SpA,036587018,BHS,
Melfalan,MELFALAN 50MG 10ML 1 UNITA' USO PARENTERALE,ALKERAN*1 flaconcino EV 50 mg + 1 flaconcino solv 10 ml,223 23,135 26,-,ASPEN PHARMA TRADING LIMITED,021250028,BDO,
Flecainide,FLECAINIDE 150MG 15ML 5 UNITA' USO PARENTERALE,ALMARYTM*5 fiale EV 150 mg 15 ml,30 48,13 85,-,MEDA PHARMA SpA,025728027,AQK,
Palonosetron,PALONOSETRON 250MCG 5ML 1 UNITA' USO PARENTERALE,ALOXI*1 fiala EV 250 mcg 5 ml,112 89,68 40,-,ITALFARMACO SpA,036742017,BHI,
Alprostadil,ALPROSTADIL 20MCG 1 UNITA' USO PARENTERALE,ALPROSTAR*1 fiala EV EA 20 mcg,14 44,6 56,-,RECORDATI SpA,027666015,ADH,
Alprostadil,ALPROSTADIL 60MCG 1 UNITA' USO PARENTERALE,ALPROSTAR*1 fiala EV EA 60 mcg,31 97,19 37,-,RECORDATI SpA,027666039,ADJ,
Amikacina,AMIKACINA 500MG 10 UNITA' USO PARENTERALE,AMICASIL*10 fiale IM EV 500 mg 2 ml,30 21,18 31,-,PHARMATEX ITALIA Srl,024459137,ADO,
Amikacina,AMIKACINA 500MG 5 UNITA' USO PARENTERALE,AMIKACINA*5 fiale 0 5 g 2 ml,39 19,17 81,-,TEVA ITALIA Srl,033586037,ADP,
Amiodarone,AMIODARONE 150MG 3ML 5 UNITA' USO PARENTERALE,AMIODAR*5 fiale EV 150 mg 3 ml,4 94,2 99,-,SIGMATAU IND.FARM.RIUNITE SpA,022033029,44A,
Amiodarone,AMIODARONE 150MG 3ML 5 UNITA' USO PARENTERALE,AMIODARONE CLORIDRATO*5 fiale EV 150 mg 3 ml,6 58,3 99,-,BIOINDUSTRIA L.I.M. SpA,035462011,44A,
Amiodarone,AMIODARONE 150MG 3ML 10 UNITA' USO PARENTERALE,AMIODARONE*10 fiale EV 150 mg 3 ml,9 39,5 69,-,HIKMA FARMACEUTICA S.A.,038320014,ADS,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 20ML 1 UNITA' USO PARENTERALE,AMOXICILLINA ACIDO CLAVULANICO*1 fiala EV 1.000 mg + 200 mg + 1 flaconcino solv 20 ml,3 75,2 27,-,TEVA ITALIA Srl,036966012,ADW,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 1 UNITA' USO PARENTERALE,AMOXICILLINA ACIDO CLAVULANICO*1 fiala EV 2.000 mg + 200 mg,5 06,3 07,-,TEVA ITALIA Srl,036966051,ADX,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 20ML 1 UNITA' USO PARENTERALE,AMOXICILLINA E ACIDO CLAVULANICO*1 fiala EV 2.000 mg + 200 mg + 1 flaconcino solv 20 ml,5 06,3 07,-,IBIGEN Srl,036766020,ADY,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 1 UNITA' USO PARENTERALE,AMOXICILLINA E ACIDO CLAVULANICO*1 flaconcino EV 1.000 mg + 200 mg,3 75,2 27,-,SANDOZ SpA,036882025,ADV,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 20ML 1 UNITA' USO PARENTERALE,AMOXICILLINA E ACIDO CLAVULANICO*1 flaconcino EV 1.000 mg + 200 mg + 1 flaconcino solv 20 ml,3 65,2 21,-,IBIGEN Srl,036766018,ADW,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 1 UNITA' USO PARENTERALE,AMOXICILLINA E ACIDO CLAVULANICO*1 flaconcino EV 2.000 mg + 200 mg,5 06,3 07,-,SANDOZ SpA,036882037,ADX,
Amoxicillina,AMOXICILLINA 1.000MG 100 UNITA' USO PARENTERALE,AMOXILLINA SODICA*100 flaconi EV 1.000 mg,90 16,40 98,-,K24 PHARMACEUTICALS Srl,033452095,CNZ,
Amoxicillina,AMOXICILLINA 500MG 100 UNITA' USO PARENTERALE,AMOXILLINA SODICA*100 flaconi EV 500 mg,52 01,23 65,-,K24 PHARMACEUTICALS Srl,033452069,COD,
Amoxicillina,AMOXICILLINA 1.000MG 50 UNITA' USO PARENTERALE,AMOXILLINA SODICA*50 flaconi EV 1.000 mg,45 08,20 49,-,K24 PHARMACEUTICALS Srl,033452083,COB,
Amoxicillina,AMOXICILLINA 500MG 50 UNITA' USO PARENTERALE,AMOXILLINA SODICA*50 flaconi EV 500 mg,26 01,11 83,-,K24 PHARMACEUTICALS Srl,033452057,COE,
Ampicillina/sulbactam,AMPICILLINA+SULBACTAM 1.000+500MG 1 UNITA' USO PARENTERALE IM EV,AMPICILLINA E SULBACTAM*1 fiala IM EV 1 g + 500 mg + 1 fiala solv 20 ml,2 53,1 53,-,I.B.I.GIOVANNI LORENZINI SpA,036624031,AEE,
Ampicillina/sulbactam,AMPICILLINA+SULBACTAM 2.000+1.000MG 1 UNITA' USO PARENTERALE IM EV,AMPICILLINA E SULBACTAM*1 fiala IM EV 2 g + 1 g + 1 fiala solv 100 ml,4 36,2 64,-,I.B.I.GIOVANNI LORENZINI SpA,036624068,AEG,
Ampicillina/sulbactam,AMPICILLINA+SULBACTAM 1.000+500MG 10 UNITA' USO PARENTERALE IM EV,AMPICILLINA E SULBACTAM*10 flaconcini IM EV 20 ml 1 g + 500 mg,22 84,13 83,-,I.B.I.GIOVANNI LORENZINI SpA,036624070,COF,
Ampicillina/sulbactam,AMPICILLINA+SULBACTAM 2.000+1.000MG 10 UNITA' USO PARENTERALE IM EV,AMPICILLINA E SULBACTAM*10 flaconcini IM EV 20 ml 2 g + 1 g,39 35,23 85,-,I.B.I.GIOVANNI LORENZINI SpA,036624094,AEH,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE,ANBINEX*1 flacone 1.000 UI + 1 siringa,-,-,330 00,GRIFOLS ITALIA SpA,034330047,AEK,
Antitrombina III Umana,ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE,ANBINEX*1 flacone 500 UI + 1 siringa,-,-,165 00,GRIFOLS ITALIA SpA,034330035,AEN,
Flucitosina,FLUCITOSINA 2.500MG 250ML 5 UNITA' USO PARENTERALE,ANCOTIL*5 flaconi EV 2 5 g 250 ml,270 81,164 08,-,MEDA PHARMA SpA,024753028,AQL,
Flumazenil,FLUMAZENIL 0 5MG 5ML 1 UNITA' USO PARENTERALE,ANEXATE*1 fiala EV 0 5 mg 5 ml,20 11,9 14,-,ROCHE SpA,026749010,ARD,
Flumazenil,FLUMAZENIL 1MG 10ML 1 UNITA' USO PARENTERALE,ANEXATE*1 fiala EV 1 mg 10 ml,36 20,16 45,-,ROCHE SpA,026749034,ARF,
Bivalirudina,BIVALIRUDINA 250MG 10 UNITA' USO PARENTERALE,ANGIOX*10 flaconcini EV 250 mg,6.255 85,3.790 50,-,THE MEDICINES COMPANY (IT.)Srl,036603013,AGH,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE,ANTITROMBINA III IMMUNO*1 flaconcino EV 1.000 UI + 1 flaconcino solv 20 ml,-,-,330 00,BAXALTA ITALY Srl,027113024,AEK,
Antitrombina III Umana,ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE,ANTITROMBINA III IMMUNO*1 flaconcino EV 500 UI + 1 flaconcino solv 10 ml,-,-,165 00,BAXALTA ITALY Srl,027113012,AEN,
Omeprazolo,OMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,ANTRA*1 flaconcino EV 40 mg,8 58,3 90,-,ASTRAZENECA SpA,028245049,BGI,
Propofol,PROPOFOL 1.000MG 50ML 1 UNITA' USO PARENTERALE,ANVAR*1 flaconcino EV 20 mg/ml 50 ml,21 09,12 78,-,EG SpA,040966057,BIN,
Paclitaxel,PACLITAXEL 100MG 16 7ML 1 UNITA' USO PARENTERALE,ANZATAX*1 flaconcino EV 100 mg 16 7 ml 6 mg/ml,418 15,253 37,-,HOSPIRA ITALIA Srl,036303028,BGU,
Paclitaxel,PACLITAXEL 150MG 25ML 1 UNITA' USO PARENTERALE,ANZATAX*1 flaconcino EV 150 mg 25 ml 6 mg/ml,627 26,380 06,-,HOSPIRA ITALIA Srl,036303030,BGW,
Paclitaxel,PACLITAXEL 30MG 5ML 1 UNITA' USO PARENTERALE,ANZATAX*1 flaconcino EV 30 mg 5 ml 6 mg/ml,125 46,76 02,-,HOSPIRA ITALIA Srl,036303016,BGY,
Paclitaxel,PACLITAXEL 300MG 50ML 1 UNITA' USO PARENTERALE,ANZATAX*1 flaconcino EV 300 mg 50 ml 6 mg/ml,1.254 50,760 12,-,HOSPIRA ITALIA Srl,036303042,BGX,
Apomorfina,APOMORFINA 50MG/5ML 5 UNITA' USO PARENTERALE,APOFIN*5 fiale SC 5 ml 50 mg/5 ml,65 03,29 55,-,CHIESI FARMACEUTICI SpA,033403015,AEO,
Tipranavir,TIPRANAVIR 250MG 120 UNITA' USO ORALE,APTIVUS*120 cps molli 250 mg,1.206 48,731 03,-,BOEHRINGER INGELHEIM IT.SpA,036859015,BMN,
Citarabina,CITARABINA 100MG 5ML 1 UNITA' USO PARENTERALE,ARACYTIN*1 flacone SC EV 100 mg + 1 fiala solv 5 ml,4 80,2 18,-,PFIZER ITALIA Srl,022391015,AIZ,
Citarabina,CITARABINA 500MG 10ML 1 UNITA' USO PARENTERALE,ARACYTIN*1 flacone SC EV 500 mg + 1 fiala solv 10 ml,18 13,8 24,-,PFIZER ITALIA Srl,022391039,AJF,
Ofatumumab,OFATUMUMAB 1.000MG 50ML 1 UNITA' USO PARENTERALE,ARZERRA*1 flacone EV 50 ml 1.000 mg 20 mg/ml,3.780 15,2.290 45,-,NOVARTIS FARMA SpA,039826033,BFU,
Ofatumumab,OFATUMUMAB 100MG 5ML 3 UNITA' USO PARENTERALE,ARZERRA*3 flaconcini EV 100 mg 5 ml,1.133 58,686 85,-,NOVARTIS FARMA SpA,039826019,BFW,
Antitrombina III Umana,ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE,AT III KEDRION*1 fiala EV 500 UI + 1 fiala solv 10 ml,-,-,165 00,KEDRION SpA,029378015,AEN,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE,AT III KEDRION*1 flaconcino EV 1.000 UI + 1 flaconcino solv 20 ml,-,-,330 00,KEDRION SpA,029378027,AEK,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE,ATENATIV*1 flaconcino EV 1.000 UI + 1 flaconcino solv 20 ml,-,-,330 00,OCTAPHARMA ITALY SPA,031118021,AEK,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.500UI 30ML USO PARENTERALE,ATENATIV*1 flaconcino EV 1.500 UI + 1 flaconcino solv 30 ml,-,-,495 00,OCTAPHARMA ITALY SPA,031118033,AEL,
Antitrombina III Umana,ANTITROMBINA III UMANA 500UI 10ML USO PARENTERALE,ATENATIV*1 flaconcino EV 500 UI + 1 fiala solv 10 ml,-,-,165 00,OCTAPHARMA ITALY SPA,031118019,AEN,
Antitrombina III Umana,ANTITROMBINA III UMANA 1.000UI 20ML USO PARENTERALE,ATKED*1 flaconcino EV 1.000 UI + 1 flaconcino solv 20 ml + set,-,-,330 00,KEDRION SpA,041800020,AEK,
Atosiban,ATOSIBAN 37 5MG 5ML 1 UNITA' USO PARENTERALE,ATOSIBAN*1 flaconcino EV 37 5 mg/5 ml,82 77,50 15,-,SUN PHARMACEUTICALS ITALIA Srl,042916027,AEV,
Atosiban,ATOSIBAN 6 75MG 0 9ML 1 UNITA' USO PARENTERALE,ATOSIBAN*1 flaconcino EV 6 75 mg/0 9 ml,26 53,16 07,-,SUN PHARMACEUTICALS ITALIA Srl,042916015,AEW,
Atracurio,ATRACURIO 25MG 2 5ML 5 UNITA' USO PARENTERALE,ATRACURIUM*5 fiale EV 25 mg 2 5 ml,8 61,5 22,-,HAMELN PHARMACEUTICALS GmbH,035640010,AEY,
Atracurio,ATRACURIO 50MG 5ML 5 UNITA' USO PARENTERALE,ATRACURIUM*5 fiale EV 50 mg 5 ml,16 95,10 27,-,HAMELN PHARMACEUTICALS GmbH,035640046,AEZ,
Nelarabina,NELARABINA 250MG 50ML 6 UNITA' USO PARENTERALE,ATRIANCE*6 flaconcini EV 250 mg 50 ml,3.637 48,2.204 00,-,NOVARTIS FARMA SpA,038116012,BEX,
Efavirenz/emtricitabina/tenofovir disoproxil,EFAVIRENZ+EMTRICITABINA+TENOFOVIR 600+200+245MG 30 UNITA' USO ORALE,ATRIPLA*30 cpr riv 600 mg + 200 mg + 245 mg,990 10,599 91,-,GILEAD SCIENCES Srl,038307017,AMM,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 1.000+200MG 20ML 1 UNITA' USO PARENTERALE,AUGMENTIN*1 fiala EV 1.000 mg + 200 mg + 1 flaconcino solv 20 ml,6 24,2 84,-,GLAXOSMITHKLINE SpA,026089072,ADW,
Amoxicillina/acido clavulanico,AMOXICILLINA+ACIDO CLAVULANICO 2.000+200MG 1 UNITA' USO PARENTERALE,AUGMENTIN*1 fiala EV 2.000 mg + 200 mg,9 37,4 26,-,GLAXOSMITHKLINE SpA,026089084,ADX,
Fenitoina,FENITOINA 250MG 5ML 5 UNITA' USO PARENTERALE IM EV,AURANTIN*5 fiale IM EV 250 mg 5 ml,29 92,13 60,-,PFIZER ITALIA Srl,028823019,APY,
Moxifloxacina,MOXIFLOXACINA 400MG 250ML 1 UNITA' USO PARENTERALE,AVALOX*1 flaconcino EV 250 ml 400 mg/250 ml,44 46,26 94,-,BAYER SpA,034436194,BEU,
Bevacizumab,BEVACIZUMAB 100MG 4ML 1 UNITA' USO PARENTERALE,AVASTIN*1 flaconcino EV 100 mg 4 ml 25 mg/ml,504 62,305 76,-,ROCHE SpA,036680027,AGF,
Bevacizumab,BEVACIZUMAB 400MG 16ML 1 UNITA' USO PARENTERALE,AVASTIN*1 flaconcino EV 400 mg 16 ml 25 mg/ml,2.021 00,1.224 55,-,ROCHE SpA,036680015,AGG,
Baclofene,BACLOFENE 0 05MG 1ML 1 UNITA' USO INTRATECALE,BACLOFENE*1 fiala 0 05 mg/1 ml,3 50,2 12,-,SUN PHARMACEUTICALS ITALIA Srl,039787015,AFI,
Baclofene,BACLOFENE 10MG 20ML 1 UNITA' USO INTRATECALE,BACLOFENE*1 fiala 10 mg 20 ml soluzione intratecale,66 11,40 05,-,MOLTENI & C. F.LLI ALITTI SpA,040646022,AFJ,
Baclofene,BACLOFENE 10MG 20ML 1 UNITA' USO INTRATECALE,BACLOFENE*1 fiala 10 mg/20 ml soluzione intratecale,66 10,40 05,-,SUN PHARMACEUTICALS ITALIA Srl,039787039,AFJ,
Baclofene,BACLOFENE 10MG 5ML 1 UNITA' USO INTRATECALE,BACLOFENE*1 fiala 10 mg/5 ml soluzione intratecale,66 10,40 05,-,SUN PHARMACEUTICALS ITALIA Srl,039787054,AFK,
Baclofene,BACLOFENE 10MG 20ML 1 UNITA' USO INTRATECALE,BACLOFENE*1 fiala soluz iniett 10 mg 20 ml uso intratecale,66 10,40 05,-,BIOINDUSTRIA L.I.M. SpA,041650019,AFJ,
Baclofene,BACLOFENE 0 05MG 1ML 10 UNITA' USO INTRATECALE,BACLOFENE*10 fiale 0 05 mg 1 ml soluzione intratecale,30 00,18 17,-,MOLTENI & C. F.LLI ALITTI SpA,040646010,CSR,
Baclofene,BACLOFENE 0 05MG 1ML 10 UNITA' USO INTRATECALE,BACLOFENE*10 fiale soluz iniett 0 05 mg 1 ml uso intratecale,31 57,19 13,-,BIOINDUSTRIA L.I.M. SpA,041650033,CSR,
